INFO:root:Starting EM-Lab Run
INFO:root:emlab database: sqlite:///C:\Users\isanchezjimene\Documents\TraderesCode\toolbox-amiris-emlab\.spinetoolbox\items\emlabdb\EmlabDB.sqlite
INFO:root:SpineDBRW: Start Read Repository
WARNING:root:No value found for class: node, object: LNG, parameter: annual_resource_limit
WARNING:root:No value found for class: electricity, object: CSP_Parabolic, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: CSP_Tower, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Hydrogen_to_Jet_Fuel, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Hydropower_ROR, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_large, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_medium, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_small, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: OCGT, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: PEM_Electrolyzer, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: PV_commercial_systems, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: PV_residential, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: PV_utility_systems, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Power_to_Jet_Fuel, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: WTG_offshore, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: WTG_onshore, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: Wave_energy, parameter: apparent_power
WARNING:root:No value found for class: electricity, object: CCS, parameter: fom_cost
WARNING:root:No value found for class: electricity, object: Hydrogen_to_Jet_Fuel, parameter: fom_cost
WARNING:root:No value found for class: electricity, object: Power_to_Jet_Fuel, parameter: fom_cost
WARNING:root:No value found for class: electricity, object: Wave_energy, parameter: fom_cost
WARNING:root:No value found for class: electricity, object: Biomass_CHP_wood_pellets_DH, parameter: inertia
WARNING:root:No value found for class: electricity, object: Biomass_CHP_wood_pellets_PH, parameter: inertia
WARNING:root:No value found for class: electricity, object: CCGT, parameter: inertia
WARNING:root:No value found for class: electricity, object: CCGT_CHP_backpressure_DH, parameter: inertia
WARNING:root:No value found for class: electricity, object: CCGT_CHP_backpressure_PH, parameter: inertia
WARNING:root:No value found for class: electricity, object: CCS, parameter: inertia
WARNING:root:No value found for class: electricity, object: CSP_Parabolic, parameter: inertia
WARNING:root:No value found for class: electricity, object: CSP_Tower, parameter: inertia
WARNING:root:No value found for class: electricity, object: Hydrogen_to_Jet_Fuel, parameter: inertia
WARNING:root:No value found for class: electricity, object: Hydropower_ROR, parameter: inertia
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_large, parameter: inertia
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_medium, parameter: inertia
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_small, parameter: inertia
WARNING:root:No value found for class: electricity, object: OCGT, parameter: inertia
WARNING:root:No value found for class: electricity, object: PEM_Electrolyzer, parameter: inertia
WARNING:root:No value found for class: electricity, object: PV_commercial_systems, parameter: inertia
WARNING:root:No value found for class: electricity, object: PV_residential, parameter: inertia
WARNING:root:No value found for class: electricity, object: PV_utility_systems, parameter: inertia
WARNING:root:No value found for class: electricity, object: Power_to_Jet_Fuel, parameter: inertia
WARNING:root:No value found for class: electricity, object: WTG_offshore, parameter: inertia
WARNING:root:No value found for class: electricity, object: WTG_onshore, parameter: inertia
WARNING:root:No value found for class: electricity, object: Wave_energy, parameter: inertia
WARNING:root:No value found for class: electricity, object: Hydrogen_to_Jet_Fuel, parameter: investment_cost
WARNING:root:No value found for class: electricity, object: Power_to_Jet_Fuel, parameter: investment_cost
WARNING:root:No value found for class: electricity, object: Biomass_CHP_wood_pellets_DH, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: Biomass_CHP_wood_pellets_PH, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: CCGT, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: CCGT_CHP_backpressure_DH, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: CCGT_CHP_backpressure_PH, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: CCS, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: CSP_Parabolic, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: CSP_Tower, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: Hydrogen_to_Jet_Fuel, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: Hydropower_ROR, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_large, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_medium, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_small, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: OCGT, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: PV_commercial_systems, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: PV_residential, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: PV_utility_systems, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: Power_to_Jet_Fuel, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: WTG_offshore, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: WTG_onshore, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: Wave_energy, parameter: ramp_limit
WARNING:root:No value found for class: electricity, object: Biomass_CHP_wood_pellets_DH, parameter: start_cost
WARNING:root:No value found for class: electricity, object: Biomass_CHP_wood_pellets_PH, parameter: start_cost
WARNING:root:No value found for class: electricity, object: CCGT, parameter: start_cost
WARNING:root:No value found for class: electricity, object: CCGT_CHP_backpressure_DH, parameter: start_cost
WARNING:root:No value found for class: electricity, object: CCGT_CHP_backpressure_PH, parameter: start_cost
WARNING:root:No value found for class: electricity, object: CCS, parameter: start_cost
WARNING:root:No value found for class: electricity, object: CSP_Parabolic, parameter: start_cost
WARNING:root:No value found for class: electricity, object: CSP_Tower, parameter: start_cost
WARNING:root:No value found for class: electricity, object: Hydrogen_to_Jet_Fuel, parameter: start_cost
WARNING:root:No value found for class: electricity, object: Hydropower_ROR, parameter: start_cost
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_large, parameter: start_cost
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_medium, parameter: start_cost
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_small, parameter: start_cost
WARNING:root:No value found for class: electricity, object: Nuclear, parameter: start_cost
WARNING:root:No value found for class: electricity, object: Nuclear_CHP_DH, parameter: start_cost
WARNING:root:No value found for class: electricity, object: Nuclear_CHP_PH, parameter: start_cost
WARNING:root:No value found for class: electricity, object: PEM_Electrolyzer, parameter: start_cost
WARNING:root:No value found for class: electricity, object: PV_commercial_systems, parameter: start_cost
WARNING:root:No value found for class: electricity, object: PV_residential, parameter: start_cost
WARNING:root:No value found for class: electricity, object: PV_utility_systems, parameter: start_cost
WARNING:root:No value found for class: electricity, object: Power_to_Jet_Fuel, parameter: start_cost
WARNING:root:No value found for class: electricity, object: WTG_offshore, parameter: start_cost
WARNING:root:No value found for class: electricity, object: WTG_onshore, parameter: start_cost
WARNING:root:No value found for class: electricity, object: Wave_energy, parameter: start_cost
WARNING:root:No value found for class: electricity, object: CCS, parameter: vom_cost
WARNING:root:No value found for class: electricity, object: CSP_Parabolic, parameter: vom_cost
WARNING:root:No value found for class: electricity, object: CSP_Tower, parameter: vom_cost
WARNING:root:No value found for class: electricity, object: Hydrogen_to_Jet_Fuel, parameter: vom_cost
WARNING:root:No value found for class: electricity, object: Hydropower_ROR, parameter: vom_cost
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_large, parameter: vom_cost
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_medium, parameter: vom_cost
WARNING:root:No value found for class: electricity, object: Hydropower_reservoir_small, parameter: vom_cost
WARNING:root:No value found for class: electricity, object: PV_commercial_systems, parameter: vom_cost
WARNING:root:No value found for class: electricity, object: PV_residential, parameter: vom_cost
WARNING:root:No value found for class: electricity, object: PV_utility_systems, parameter: vom_cost
WARNING:root:No value found for class: electricity, object: Power_to_Jet_Fuel, parameter: vom_cost
WARNING:root:No value found for class: unit, object: CCS, parameter: efficiency_full_load
WARNING:root:No value found for class: unit, object: CSP_Parabolic, parameter: efficiency_full_load
WARNING:root:No value found for class: unit, object: CSP_Tower, parameter: efficiency_full_load
WARNING:root:No value found for class: unit, object: FT_process, parameter: efficiency_full_load
WARNING:root:No value found for class: unit, object: Gasifier_and_methanation, parameter: efficiency_full_load
WARNING:root:No value found for class: unit, object: Hydrogen_to_Jet_Fuel, parameter: efficiency_full_load
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_large, parameter: efficiency_full_load
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_medium, parameter: efficiency_full_load
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_small, parameter: efficiency_full_load
WARNING:root:No value found for class: unit, object: PEM_Electrolyzer, parameter: efficiency_full_load
WARNING:root:No value found for class: unit, object: Power_to_Jet_Fuel, parameter: efficiency_full_load
WARNING:root:No value found for class: unit, object: Wave_energy, parameter: efficiency_full_load
WARNING:root:No value found for class: unit, object: Biomass_CHP_wood_pellets_DH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Biomass_CHP_wood_pellets_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Building_electric_heater, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Building_gas_heater, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_air, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_water, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: CCGT, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: CCGT_CHP_backpressure_DH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: CCGT_CHP_backpressure_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: CCS, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: CSP_Parabolic, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: CSP_Tower, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: FT_process, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Gasifier_and_methanation, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Hydrogen_to_Jet_Fuel, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Hydropower_ROR, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_large, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_medium, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_small, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_biomass_boiler_DH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_biomass_boiler_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_electric_heater_DH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_electric_heater_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_gas_heater_DH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_gas_heater_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_heat_pump_excess_heat_70_35C_DH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_heat_pump_excess_heat_70_35C_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_80_40C_DH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_80_40C_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_absortion_80_40C_DH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_absortion_80_40C_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_heat_pump_seawater_80_40C_DH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_heat_pump_seawater_80_40C_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_heat_pump_up_to_150C_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_nuclear_heater_DH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Industry_nuclear_heater_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Nuclear, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Nuclear_CHP_DH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Nuclear_CHP_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: OCGT, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: PEM_Electrolyzer, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Power_to_Jet_Fuel, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Solar_district_heating_DH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Solar_district_heating_PH, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Wave_energy, parameter: efficiency_min_load
WARNING:root:No value found for class: unit, object: Building_electric_heater, parameter: interest_rate
WARNING:root:No value found for class: unit, object: Building_gas_heater, parameter: interest_rate
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_air, parameter: interest_rate
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_water, parameter: interest_rate
WARNING:root:No value found for class: unit, object: Biomass_CHP_wood_pellets_DH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Biomass_CHP_wood_pellets_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Building_electric_heater, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Building_gas_heater, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_air, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_water, parameter: investment_limit
WARNING:root:No value found for class: unit, object: CCGT, parameter: investment_limit
WARNING:root:No value found for class: unit, object: CCGT_CHP_backpressure_DH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: CCGT_CHP_backpressure_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: CCS, parameter: investment_limit
WARNING:root:No value found for class: unit, object: CSP_Parabolic, parameter: investment_limit
WARNING:root:No value found for class: unit, object: CSP_Tower, parameter: investment_limit
WARNING:root:No value found for class: unit, object: FT_process, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Gasifier_and_methanation, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Hydrogen_to_Jet_Fuel, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Hydropower_ROR, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_large, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_medium, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_small, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_biomass_boiler_DH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_biomass_boiler_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_electric_heater_DH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_electric_heater_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_gas_heater_DH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_gas_heater_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_heat_pump_excess_heat_70_35C_DH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_heat_pump_excess_heat_70_35C_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_80_40C_DH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_80_40C_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_absortion_80_40C_DH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_absortion_80_40C_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_heat_pump_seawater_80_40C_DH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_heat_pump_seawater_80_40C_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_heat_pump_up_to_150C_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_nuclear_heater_DH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Industry_nuclear_heater_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Nuclear, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Nuclear_CHP_DH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Nuclear_CHP_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: OCGT, parameter: investment_limit
WARNING:root:No value found for class: unit, object: PEM_Electrolyzer, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Power_to_Jet_Fuel, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Solar_district_heating_DH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Solar_district_heating_PH, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Wave_energy, parameter: investment_limit
WARNING:root:No value found for class: unit, object: Building_electric_heater, parameter: lifetime_economic
WARNING:root:No value found for class: unit, object: Building_gas_heater, parameter: lifetime_economic
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_air, parameter: lifetime_economic
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_water, parameter: lifetime_economic
WARNING:root:No value found for class: unit, object: CCS, parameter: lifetime_technical
WARNING:root:No value found for class: unit, object: Industry_nuclear_heater_DH, parameter: lifetime_technical
WARNING:root:No value found for class: unit, object: Industry_nuclear_heater_PH, parameter: lifetime_technical
WARNING:root:No value found for class: unit, object: Nuclear, parameter: lifetime_technical
WARNING:root:No value found for class: unit, object: Nuclear_CHP_DH, parameter: lifetime_technical
WARNING:root:No value found for class: unit, object: Nuclear_CHP_PH, parameter: lifetime_technical
WARNING:root:No value found for class: unit, object: Biomass_CHP_wood_pellets_DH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Biomass_CHP_wood_pellets_PH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Building_electric_heater, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Building_gas_heater, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_air, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_water, parameter: min_down_time
WARNING:root:No value found for class: unit, object: CCGT, parameter: min_down_time
WARNING:root:No value found for class: unit, object: CCGT_CHP_backpressure_DH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: CCGT_CHP_backpressure_PH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: CCS, parameter: min_down_time
WARNING:root:No value found for class: unit, object: CSP_Parabolic, parameter: min_down_time
WARNING:root:No value found for class: unit, object: CSP_Tower, parameter: min_down_time
WARNING:root:No value found for class: unit, object: FT_process, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Gasifier_and_methanation, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Hydrogen_to_Jet_Fuel, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Hydropower_ROR, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_large, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_medium, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_small, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_biomass_boiler_DH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_biomass_boiler_PH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_electric_heater_DH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_electric_heater_PH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_gas_heater_DH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_gas_heater_PH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_excess_heat_70_35C_DH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_excess_heat_70_35C_PH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_80_40C_DH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_80_40C_PH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_absortion_80_40C_DH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_absortion_80_40C_PH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_seawater_80_40C_DH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_seawater_80_40C_PH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_up_to_150C_PH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: OCGT, parameter: min_down_time
WARNING:root:No value found for class: unit, object: PEM_Electrolyzer, parameter: min_down_time
WARNING:root:No value found for class: unit, object: PV_commercial_systems, parameter: min_down_time
WARNING:root:No value found for class: unit, object: PV_residential, parameter: min_down_time
WARNING:root:No value found for class: unit, object: PV_utility_systems, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Power_to_Jet_Fuel, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Solar_district_heating_DH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Solar_district_heating_PH, parameter: min_down_time
WARNING:root:No value found for class: unit, object: WTG_offshore, parameter: min_down_time
WARNING:root:No value found for class: unit, object: WTG_onshore, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Wave_energy, parameter: min_down_time
WARNING:root:No value found for class: unit, object: Building_electric_heater, parameter: min_load
WARNING:root:No value found for class: unit, object: Building_gas_heater, parameter: min_load
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_air, parameter: min_load
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_water, parameter: min_load
WARNING:root:No value found for class: unit, object: CCS, parameter: min_load
WARNING:root:No value found for class: unit, object: CSP_Parabolic, parameter: min_load
WARNING:root:No value found for class: unit, object: CSP_Tower, parameter: min_load
WARNING:root:No value found for class: unit, object: FT_process, parameter: min_load
WARNING:root:No value found for class: unit, object: Gasifier_and_methanation, parameter: min_load
WARNING:root:No value found for class: unit, object: Hydrogen_to_Jet_Fuel, parameter: min_load
WARNING:root:No value found for class: unit, object: Hydropower_ROR, parameter: min_load
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_large, parameter: min_load
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_medium, parameter: min_load
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_small, parameter: min_load
WARNING:root:No value found for class: unit, object: PEM_Electrolyzer, parameter: min_load
WARNING:root:No value found for class: unit, object: PV_commercial_systems, parameter: min_load
WARNING:root:No value found for class: unit, object: PV_residential, parameter: min_load
WARNING:root:No value found for class: unit, object: PV_utility_systems, parameter: min_load
WARNING:root:No value found for class: unit, object: Power_to_Jet_Fuel, parameter: min_load
WARNING:root:No value found for class: unit, object: Solar_district_heating_DH, parameter: min_load
WARNING:root:No value found for class: unit, object: Solar_district_heating_PH, parameter: min_load
WARNING:root:No value found for class: unit, object: WTG_offshore, parameter: min_load
WARNING:root:No value found for class: unit, object: WTG_onshore, parameter: min_load
WARNING:root:No value found for class: unit, object: Wave_energy, parameter: min_load
WARNING:root:No value found for class: unit, object: Biomass_CHP_wood_pellets_DH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Biomass_CHP_wood_pellets_PH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Building_electric_heater, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Building_gas_heater, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_air, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_water, parameter: min_up_time
WARNING:root:No value found for class: unit, object: CCGT, parameter: min_up_time
WARNING:root:No value found for class: unit, object: CCGT_CHP_backpressure_DH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: CCGT_CHP_backpressure_PH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: CCS, parameter: min_up_time
WARNING:root:No value found for class: unit, object: CSP_Parabolic, parameter: min_up_time
WARNING:root:No value found for class: unit, object: CSP_Tower, parameter: min_up_time
WARNING:root:No value found for class: unit, object: FT_process, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Gasifier_and_methanation, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Hydrogen_to_Jet_Fuel, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Hydropower_ROR, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_large, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_medium, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_small, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_biomass_boiler_DH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_biomass_boiler_PH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_electric_heater_DH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_electric_heater_PH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_gas_heater_DH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_gas_heater_PH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_excess_heat_70_35C_DH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_excess_heat_70_35C_PH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_80_40C_DH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_80_40C_PH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_absortion_80_40C_DH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_geothermal_2km_absortion_80_40C_PH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_seawater_80_40C_DH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_seawater_80_40C_PH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Industry_heat_pump_up_to_150C_PH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: OCGT, parameter: min_up_time
WARNING:root:No value found for class: unit, object: PEM_Electrolyzer, parameter: min_up_time
WARNING:root:No value found for class: unit, object: PV_commercial_systems, parameter: min_up_time
WARNING:root:No value found for class: unit, object: PV_residential, parameter: min_up_time
WARNING:root:No value found for class: unit, object: PV_utility_systems, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Power_to_Jet_Fuel, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Solar_district_heating_DH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Solar_district_heating_PH, parameter: min_up_time
WARNING:root:No value found for class: unit, object: WTG_offshore, parameter: min_up_time
WARNING:root:No value found for class: unit, object: WTG_onshore, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Wave_energy, parameter: min_up_time
WARNING:root:No value found for class: unit, object: Building_electric_heater, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Building_gas_heater, parameter: planned_outage
